date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:59:58	109/109	---MCZ	200	added ('OK')	text/plain	etag:%221889-1702717029;gz%22	https://maylox.live/robots.txt		(from )
20:59:58	36169/36169	---M-Z	200	added ('OK')	text/html	etag:%221880-1702714498;gz%22	https://maylox.live/how-to/?gclid=EAIaIQobChMI3rnBwN6UgwMVwadaBR1jFQgPEAAYASAAEgIm3vD_BwE	C:/Users/LENOVO/Downloads/roblox-redirection/maylox.live/how-to/indexebe6.html	(from )
20:59:59	110035/110035	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Nov%202023%2000:04:12%20GMT	https://maylox.live/wp-includes/css/dist/block-library/style.min.css?ver=6.4.2	C:/Users/LENOVO/Downloads/roblox-redirection/maylox.live/wp-includes/css/dist/block-library/style.min1e39.css	(from https://maylox.live/how-to/?gclid=EAIaIQobChMI3rnBwN6UgwMVwadaBR1jFQgPEAAYASAAEgIm3vD_BwE)
20:59:59	59344/59344	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2014:34:44%20GMT	https://maylox.live/wp-content/themes/newsmatic/assets/lib/fontawesome/css/all.min.css?ver=5.15.3	C:/Users/LENOVO/Downloads/roblox-redirection/maylox.live/wp-content/themes/newsmatic/assets/lib/fontawesome/css/all.min52d5.css	(from https://maylox.live/how-to/?gclid=EAIaIQobChMI3rnBwN6UgwMVwadaBR1jFQgPEAAYASAAEgIm3vD_BwE)
20:59:59	1776/1776	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2014:34:44%20GMT	https://maylox.live/wp-content/themes/newsmatic/assets/lib/slick/slick.css?ver=1.8.1	C:/Users/LENOVO/Downloads/roblox-redirection/maylox.live/wp-content/themes/newsmatic/assets/lib/slick/slickc245.css	(from https://maylox.live/how-to/?gclid=EAIaIQobChMI3rnBwN6UgwMVwadaBR1jFQgPEAAYASAAEgIm3vD_BwE)
20:59:59	24697/24697	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Jun%202023%2016:17:13%20GMT	https://maylox.live/wp-content/fonts/e3372bf7dc26a5f5cc36c558cb946d81.css	C:/Users/LENOVO/Downloads/roblox-redirection/maylox.live/wp-content/fonts/e3372bf7dc26a5f5cc36c558cb946d81.css	(from https://maylox.live/how-to/?gclid=EAIaIQobChMI3rnBwN6UgwMVwadaBR1jFQgPEAAYASAAEgIm3vD_BwE)
21:00:00	18078/18078	---M-Z	200	added ('OK')	text/css	date:Fri,%2008%20Dec%202023%2012:45:32%20GMT	https://maylox.live/wp-content/themes/newsmatic/style.css?ver=1.2.17	C:/Users/LENOVO/Downloads/roblox-redirection/maylox.live/wp-content/themes/newsmatic/style70e3.css	(from https://maylox.live/how-to/?gclid=EAIaIQobChMI3rnBwN6UgwMVwadaBR1jFQgPEAAYASAAEgIm3vD_BwE)
21:00:00	27669/27669	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2014:34:44%20GMT	https://maylox.live/wp-content/themes/newsmatic/assets/css/loader.css?ver=1.2.17	C:/Users/LENOVO/Downloads/roblox-redirection/maylox.live/wp-content/themes/newsmatic/assets/css/loader70e3.css	(from https://maylox.live/how-to/?gclid=EAIaIQobChMI3rnBwN6UgwMVwadaBR1jFQgPEAAYASAAEgIm3vD_BwE)
21:00:00	183556/183556	---M-Z	200	added ('OK')	text/css	date:Fri,%2008%20Dec%202023%2012:45:32%20GMT	https://maylox.live/wp-content/themes/newsmatic/assets/css/main.css?ver=1.2.17	C:/Users/LENOVO/Downloads/roblox-redirection/maylox.live/wp-content/themes/newsmatic/assets/css/main70e3.css	(from https://maylox.live/how-to/?gclid=EAIaIQobChMI3rnBwN6UgwMVwadaBR1jFQgPEAAYASAAEgIm3vD_BwE)
21:00:01	14474/14474	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Oct%202023%2015:28:58%20GMT	https://maylox.live/wp-content/themes/newsmatic/assets/css/responsive.css?ver=1.2.17	C:/Users/LENOVO/Downloads/roblox-redirection/maylox.live/wp-content/themes/newsmatic/assets/css/responsive70e3.css	(from https://maylox.live/how-to/?gclid=EAIaIQobChMI3rnBwN6UgwMVwadaBR1jFQgPEAAYASAAEgIm3vD_BwE)
21:00:02	13577/13577	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2008%20Aug%202023%2023:15:25%20GMT	https://maylox.live/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/LENOVO/Downloads/roblox-redirection/maylox.live/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://maylox.live/how-to/?gclid=EAIaIQobChMI3rnBwN6UgwMVwadaBR1jFQgPEAAYASAAEgIm3vD_BwE)
21:00:02	87553/87553	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2008%20Nov%202023%2000:04:11%20GMT	https://maylox.live/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/LENOVO/Downloads/roblox-redirection/maylox.live/wp-includes/js/jquery/jquery.minf43b.js	(from https://maylox.live/how-to/?gclid=EAIaIQobChMI3rnBwN6UgwMVwadaBR1jFQgPEAAYASAAEgIm3vD_BwE)
21:00:02	18915/18915	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2011:34:47%20GMT	https://maylox.live/wp-content/uploads/2023/05/roblox-free-items-300x157-1.jpg	C:/Users/LENOVO/Downloads/roblox-redirection/maylox.live/wp-content/uploads/2023/05/roblox-free-items-300x157-1.jpg	(from https://maylox.live/how-to/?gclid=EAIaIQobChMI3rnBwN6UgwMVwadaBR1jFQgPEAAYASAAEgIm3vD_BwE)
21:00:02	36169/36169	---M-Z	200	added ('OK')	text/html	etag:%221880-1702714498;gz%22	https://maylox.live/how-to/	C:/Users/LENOVO/Downloads/roblox-redirection/maylox.live/how-to/index.html	(from https://maylox.live/how-to/?gclid=EAIaIQobChMI3rnBwN6UgwMVwadaBR1jFQgPEAAYASAAEgIm3vD_BwE)
21:00:03	7424/7424	---M--	200	added ('OK')	image/gif	date:Wed,%2005%20Apr%202023%2011:27:19%20GMT	https://maylox.live/wp-content/uploads/2023/04/Get-Started-300x60.gif	C:/Users/LENOVO/Downloads/roblox-redirection/maylox.live/wp-content/uploads/2023/04/Get-Started-300x60.gif	(from https://maylox.live/how-to/?gclid=EAIaIQobChMI3rnBwN6UgwMVwadaBR1jFQgPEAAYASAAEgIm3vD_BwE)
21:00:03	42863/42863	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2021%20Jul%202023%2014:34:44%20GMT	https://maylox.live/wp-content/themes/newsmatic/assets/lib/slick/slick.min.js?ver=1.8.1	C:/Users/LENOVO/Downloads/roblox-redirection/maylox.live/wp-content/themes/newsmatic/assets/lib/slick/slick.minc245.js	(from https://maylox.live/how-to/?gclid=EAIaIQobChMI3rnBwN6UgwMVwadaBR1jFQgPEAAYASAAEgIm3vD_BwE)
